Site_ID,Sector_ID,Cell_ID,Vendor,Antenna_model,Azimuth,Frequency,Polarization ,Tilt,Antenna_Height,Antenna_Power,Antenna_receiver_sensitivity_dbm,Antenna_horizontal_beamwidth,Antenna_vertical_beamwidth,Front_to_back_ratio_dB,
MW0626,MW0626-1,6261,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,0,46,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1261,> 26 & > 28,
MW0626,MW0626-2,6262,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,0,46,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1262,> 26 & > 28,
MW0626,MW0626-3,6263,Kathrein,742266,320,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,0,46,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1263,> 26 & > 28,
MW0622,MW0622-1,6221,Andrew,TBXLHA-6565DC-VTM,0,824Ð960&1710Ð2180,3xDual Polarization,0,58,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0622,MW0622-2,6222,Andrew,TBXLHA-6565DC-VTM,240,824Ð960&1710Ð2180,3xDual Polarization,0,58,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0622,MW0622-3,6223,Andrew,TBXLHA-6565DC-VTM,320,824Ð960&1710Ð2180,3xDual Polarization,3,58,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0697,MW0697-1,6971,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1267,> 26 & > 28,
MW0697,MW0697-2,6972,Kathrein,742266,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1268,> 26 & > 28,
MW0697,MW0697-3,6973,Kathrein,742266,240,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,48,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1269,> 26 & > 28,
MW5904,MW5904-1,59041,Rosenberger,BA-G6W9W9X65V-00M,0,,,0,40,20W,-110,,,,
MW5904,MW5904-2,59042,Rosenberger,BA-G6W9W9X65V-00M,110,,,0,40,20W,-110,,,,
MW5904,MW5904-3,59043,Rosenberger,BA-G6W9W9X65V-00M,240,,,0,40,20W,-110,,,,
MW0715,MW0715-1,7151,Rosenberger,BA-G6W9W9X65V-00M,0,,,0,40,20W,-110,,,,
MW0715,MW0715-2,7152,Rosenberger,BA-G6W9W9X65V-00M,100,,,2,40,20W,-110,,,,
MW0715,MW0715-3,7153,Rosenberger,BA-G6W9W9X65V-00M,220,,,2,40,20W,-110,,,,
MW0625,MW0625-1,6251,Rosenberger,BA-G6W9W9X65V-00M,0,,,2,68,20W,-110,,,,
MW0625,MW0625-2,6252,Rosenberger,BA-G6W9W9X65V-00M,120,,,4,68,20W,-110,,,,
MW0625,MW0625-3,6253,Rosenberger,BA-G6W9W9X65V-00M,240,,,0,68,20W,-110,,,,
MW0630,MW0630-1,6301,Andrew,TBXLHA-6565DC-VTM,10,824Ð960&1710Ð2180,3xDual Polarization,2,42,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0630,MW0630-2,6302,Andrew,TBXLHA-6565DC-VTM,170,824Ð960&1710Ð2180,3xDual Polarization,2,42,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0630,MW0630-3,6303,Andrew,TBXLHA-6565DC-VTM,280,824Ð960&1710Ð2180,3xDual Polarization,2,42,20W,-110,66.8&61.9,9.2&9.1,>25,
MW0629,MW0629-1,6291,Andrew,DBXLH-6565C-VTM,70,824Ð960MHz&1710Ð2180,Dual Polarization,2,43,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0629,MW0629-2,6292,Andrew,DBXLH-6565C-VTM,200,824Ð960MHz&1710Ð2180,Dual Polarization,2,43,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0629,MW0629-3,6293,Andrew,DBXLH-6565C-VTM,270,824Ð960MHz&1710Ð2180,Dual Polarization,2,43,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0714,MW0714-1,7141,Andrew,DBXLH-6565C-VTM,40,824Ð960MHz&1710Ð2180,Dual Polarization,1,50,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0714,MW0714-2,7142,Andrew,DBXLH-6565C-VTM,160,824Ð960MHz&1710Ð2180,Dual Polarization,1,50,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0714,MW0714-3,7143,Andrew,DBXLH-6565C-VTM,260,824Ð960MHz&1710Ð2180,Dual Polarization,1,50,20W,-110,67.2&61.9,7.4&4.6,>27db,
MW0633,MW0633-1,6331,Kathrein,742266,60,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1288,> 26 & > 28,
MW0633,MW0633-2,6332,Kathrein,742266,170,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1289,> 26 & > 28,
MW0633,MW0633-3,6333,Kathrein / Andrew,742266,310,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1290,> 26 & > 28,
MW0632,MW0632-1,6321,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,26,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1291,> 26 & > 28,
MW0632,MW0632-2,6322,Kathrein,742266,140,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,26,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1292,> 26 & > 28,
MW0632,MW0632-3,6323,Kathrein,742266,230,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,26,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1293,> 26 & > 28,
MW0601,MW0601-1,6011,Kathrein,742266,0,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1294,> 26 & > 28,
MW0601,MW0601-2,6012,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1295,> 26 & > 28,
MW0601,MW0601-3,6013,Kathrein,742266,270,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1296,> 26 & > 28,
MW0605,MW0605-1,6051,Kathrein,742266,20,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,30,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1297,> 26 & > 28,
MW0605,MW0605-2,6052,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,30,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1298,> 26 & > 28,
MW0605,MW0605-3,6053,Kathrein,742266,250,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,4,30,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1299,> 26 & > 28,
MW0723,MW0723-1,7231,Kathrein,742266,10,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,15,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1300,> 26 & > 28,
MW0723,MW0723-2,7232,Kathrein,742266,120,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,15,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1301,> 26 & > 28,
MW0723,MW0723-3,7233,Kathrein,742266,260,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,15,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1302,> 26 & > 28,
MW5903,MW5903-1,59031,Kathrein,742266,20,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1303,> 26 & > 28,
MW5903,MW5903-2,59032,Kathrein,742266,100,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1304,> 26 & > 28,
MW5903,MW5903-3,59033,Kathrein,742266,280,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1305,> 26 & > 28,
MW5902,MW5902-1,59021,Kathrein,742266,80,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1306,> 26 & > 28,
MW5902,MW5902-2,59022,Kathrein,742266,210,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1307,> 26 & > 28,
MW5902,MW5902-3,59023,Kathrein,742266,340,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,2,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1308,> 26 & > 28,
MW5905,MW5905-1,59051,Kathrein,742266,90,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1309,> 26 & > 28,
MW5905,MW5905-2,59052,Kathrein,742266,180,790Ð 960 MHz & 1710Ð2180 MHz,Dual Polarization,3,28,20W,-110,68 ± 1.1 & 60 ± 3.0,7.7 ± 0.3&4.7 ± 0.1310,> 26 & > 28,
