PK_Site_ID,Sitename,Longitude,Latitude,Site_Technology,Transmission,Landlord,Diesel_Generator,Solar_Power,ESCOM_Main_Grid,Clutter_class 
MW1509, SADZIMARKET , 35.305900 ,-15.413900 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW1511, AREA2KASSIM , 33.785490 ,-13.986937 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Dense Urban
MW1513, KARONGAOLDTOWN , 33.940074 ,-9.932402 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Residential
MW0429, KATOTOPRIMARY , 34.009344 ,-11.460373 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW1515, MZUZUBOTANIC , 34.019530 ,-11.428309 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW1516, MZUZUSTADIUM , 34.022110 ,-11.448550 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW1517, SALIMASILVERSAND , 34.588280 ,-13.816550 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Rural
MW1602, GESTETNER , 35.016024 ,-15.792678 , 2G+3G+4G ,Access,ACL, YES ,No,Yes,Dense Urban
MW1603, RAILWAYS , 35.067140 ,-15.819290 , 2G+3G+4G ,Access,ACL, YES ,No,Yes,Dense Urban
MW1604, Ku-chawe-inn , 35.304488 ,-15.364529 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Residential
MW1465, THYOLOESCOM , 35.149118 ,-16.070263 , 2G+3G+4G ,Access,ESCOM, YES ,No,Yes,Residential
MW6180, BTADVENTIST , 35.003580 ,-15.781690 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1611, KAMUZUAIRPORT2 , 33.779801 ,-13.780207 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Dense Urban
MW1702, NJEWAPRIMARY , 33.697900 ,-13.978500 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Dense Urban
MW1213, MULUNGUZI , 35.335380 ,-15.372410 , 2G+3G+4G ,Access,TNM, YES ,No,Yes,Urban
MW6043, NKHAKO , 33.567968 ,-13.087747 , 2G+3G+4G ,Access,MTL, YES ,No,Yes,Rural
MW6000, ALUMENDA , 34.893959 ,-16.391426 , 2G+3G+4G ,Access,Illovo, YES ,No,Yes,rural
MW6001, BEREUTNM , 34.850950 ,-16.150320 , 2G+3G+4G ,Access,TNM, YES ,No,No,Residential
MW6002, ALIMAUNDE , 33.800947 ,-13.892975 , 2G+3G+4G ,Access,Airtel, YES ,No,Yes,Dense Urban
MW6003, CHAWANTHA , 33.370770 ,-14.113440 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6004, CHILANGA , 33.474842 ,-13.128971 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6005, CHINTHEMBWE , 33.969860 ,-13.433510 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6006, CHIOKO , 33.577990 ,-13.773650 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6007, CHIPUMI , 33.078630 ,-13.627460 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6008, CHIRADZULUTTC , 35.267770 ,-15.930181 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
MW6009, CHISEKA , 33.759313 ,-14.119675 , 2G+3G+4G ,Access,Airtel, YES ,No,No,Rural
