cellID,latitude,longitude,band,antenna,height,azimuth,etilt,mtilt
6258,-11.426861,33.630166,1800DCS,BA-G6W9W9X65V-00M,68,120,0,4
6259,-11.426861,33.630166,1800DCS,BA-G6W9W9X65V-00M,68,240,0,0
3107,-13.979105,33.769097,1800DCS,742266,28,90,0,2
3108,-13.979105,33.769097,1800DCS,742266,28,200,0,2
3109,-13.979105,33.769097,1800DCS,742266,28,320,0,2
407,-14.069438,33.532330,1800DCS,BA-G6W9W9X65V-00M,48,0,0,2
408,-14.069438,33.532330,1800DCS,BA-G6W9W9X65V-00M,48,120,0,2
409,-14.069438,33.532330,1800DCS,BA-G6W9W9X65V-00M,48,240,0,2
26057,-13.727600,33.455200,1800DCS,742266V011.pafx,48,90,0,2
26058,-13.727600,33.455200,1800DCS,742266V011.pafx,48,230,0,2
26059,-13.727600,33.455200,1800DCS,742266V011.pafx,48,320,0,2
4747,-14.001753,33.808761,1800DCS,742266,28,90,0,2
4748,-14.001753,33.808761,1800DCS,742266,28,220,0,2
4749,-14.001753,33.808761,1800DCS,742266,28,330,0,2
60147,-14.357174,33.709453,1800DCS,TBXLHA-6565DC-VTM,48,0,0,0
60148,-14.357174,33.709453,1800DCS,TBXLHA-6565DC-VTM,48,120,0,0
60149,-14.357174,33.709453,1800DCS,TBXLHA-6565DC-VTM,48,240,0,0
14627,-13.618403,33.299766,1800DCS,BA-G6W9W9X65V-00M,48,0,0,2
14628,-13.618403,33.299766,1800DCS,BA-G6W9W9X65V-00M,48,120,0,2
14629,-13.618403,33.299766,1800DCS,BA-G6W9W9X65V-00M,48,240,0,2
40331,-15.364780,34.886920,1800DCS,742266V011.pafx,35,0,0,0
40332,-15.364780,34.886920,1800DCS,742266V011.pafx,35,90,0,0
40333,-15.364780,34.886920,1800DCS,742266V011.pafx,35,180,0,0
40334,-15.364780,34.886920,1800DCS,742266V011.pafx,35,280,0,2
2307,-14.869092,34.779427,1800DCS,BA-G6W9W9X65V-00M,48,150,0,0
2308,-14.869092,34.779427,1800DCS,BA-G6W9W9X65V-00M,48,270,0,0
2309,-14.869092,34.779427,1800DCS,BA-G6W9W9X65V-00M,48,340,0,0
3527,-14.104500,34.007555,1800DCS,742266,52,50,0,0
3528,-14.104500,34.007555,1800DCS,742266,52,105,0,0
3529,-14.104500,34.007555,1800DCS,742266,52,210,0,0
3277,-13.025329,33.682651,1800DCS,742266,48,0,0,2
3278,-13.025329,33.682651,1800DCS,742266,48,120,0,2
3279,-13.025329,33.682651,1800DCS,742266,48,230,0,2
16117,-13.780207,33.779801,1800DCS,TBXLHA-6565DC-VTM,25,150,0,2
16119,-13.780207,33.779801,1800DCS,TBXLHA-6565DC-VTM,25,300,0,2
3257,-13.781480,33.784717,1800DCS,DBXLH-6565C-VTM,34,10,0,2
3258,-13.781480,33.784717,1800DCS,DBXLH-6565C-VTM,34,150,0,4
3259,-13.781480,33.784717,1800DCS,DBXLH-6565C-VTM,34,290,0,4
57037,-13.036973,33.680881,1800DCS,742266,28,0,0,1
57038,-13.036973,33.680881,1800DCS,742266,28,110,0,0
57039,-13.036973,33.680881,1800DCS,742266,28,200,0,0
59167,-11.097667,33.791823,1800DCS,BA-G6W9W9X65V-00M,48,0,0,2
59168,-11.097667,33.791823,1800DCS,BA-G6W9W9X65V-00M,48,140,0,2
59169,-11.097667,33.791823,1800DCS,BA-G6W9W9X65V-00M,48,240,0,0
3617,-13.833950,33.045798,1800DCS,742266,57,80,0,4
3618,-13.833950,33.045798,1800DCS,742266,57,170,0,4
3619,-13.833950,33.045798,1800DCS,742266,57,320,0,4
6227,-11.921756,34.178796,1800DCS,TBXLHA-6565DC-VTM,58,0,0,0
6228,-11.921756,34.178796,1800DCS,TBXLHA-6565DC-VTM,58,240,0,0
6229,-11.921756,34.178796,1800DCS,TBXLHA-6565DC-VTM,58,320,0,3
52007,-14.605400,34.618400,1800DCS,BA-G6W9W9X65V-00M,44,110,0,0
52008,-14.605400,34.618400,1800DCS,BA-G6W9W9X65V-00M,44,220,0,0
52009,-14.605400,34.618400,1800DCS,BA-G6W9W9X65V-00M,44,330,0,0
4727,-13.898177,33.798580,1800DCS,742266,28,40,0,2
4728,-13.898177,33.798580,1800DCS,742266,28,190,0,2
4729,-13.898177,33.798580,1800DCS,742266,28,320,0,2
55007,-13.896600,33.791028,1800DCS,742266,30,20,0,4
55008,-13.896600,33.791028,1800DCS,742266,30,210,0,2
55009,-13.896600,33.791028,1800DCS,742266,30,280,0,2
55117,-13.871021,33.802883,1800DCS,742266,24,110,0,2
55118,-13.871021,33.802883,1800DCS,742266,24,210,0,2
55119,-13.871021,33.802883,1800DCS,742266,24,340,0,2
55087,-13.908627,33.783235,1800DCS,742266,29,80,0,2
55088,-13.908627,33.783235,1800DCS,742266,29,210,0,2
55089,-13.908627,33.783235,1800DCS,742266,29,300,0,2
55167,-13.976158,33.882877,1800DCS,BA-G6W9W9X65V-00M,28,80,0,4
55168,-13.976158,33.882877,1800DCS,BA-G6W9W9X65V-00M,28,190,0,2
55169,-13.976158,33.882877,1800DCS,BA-G6W9W9X65V-00M,28,320,0,1
477,-14.866668,34.654385,1800DCS,BA-G6W9W9X65V-00M,48,50,0,2
478,-14.866668,34.654385,1800DCS,BA-G6W9W9X65V-00M,48,170,0,2
479,-14.866668,34.654385,1800DCS,BA-G6W9W9X65V-00M,48,290,0,2
5597,-15.814062,35.050862,1800DCS,DBXLH-6565C-VTM,28,40,0,2
5598,-15.814062,35.050862,1800DCS,DBXLH-6565C-VTM,28,160,0,2
5599,-15.814062,35.050862,1800DCS,DBXLH-6565C-VTM,28,310,0,2
61867,-15.813428,35.047332,1800DCS,BA-G6W9W9X65V-00M,38,0,0,2
61868,-15.813428,35.047332,1800DCS,BA-G6W9W9X65V-00M,38,120,0,2
61869,-15.813428,35.047332,1800DCS,BA-G6W9W9X65V-00M,38,240,0,2
60667,-12.635528,33.764688,1800DCS,TBXLHA-6565DC-VTM,48,30,0,2
60668,-12.635528,33.764688,1800DCS,TBXLHA-6565DC-VTM,48,140,0,2
60669,-12.635528,33.764688,1800DCS,TBXLHA-6565DC-VTM,48,260,0,2
52097,-15.037926,34.924400,1800DCS,BA-G6W9W9X65V-00M,38,0,0,0
52098,-15.037926,34.924400,1800DCS,BA-G6W9W9X65V-00M,38,170,0,4
52099,-15.037926,34.924400,1800DCS,BA-G6W9W9X65V-00M,38,260,0,0
60167,-14.238634,34.322458,1800DCS,TBXLHA-6565DC-VTM,54,0,0,0
60168,-14.238634,34.322458,1800DCS,TBXLHA-6565DC-VTM,54,150,0,0
60169,-14.238634,34.322458,1800DCS,TBXLHA-6565DC-VTM,54,280,0,0
60177,-12.896153,33.850188,1800DCS,TBXLHA-6565DC-VTM,48,50,0,3
60178,-12.896153,33.850188,1800DCS,TBXLHA-6565DC-VTM,48,170,0,3
60179,-12.896153,33.850188,1800DCS,TBXLHA-6565DC-VTM,48,300,0,3
26837,-12.994680,33.379720,1800DCS,742266V011.pafx,48,60,0,2
26838,-12.994680,33.379720,1800DCS,742266V011.pafx,48,180,0,2
26839,-12.994680,33.379720,1800DCS,742266V011.pafx,48,310,0,2
4097,-13.757328,34.390447,1800DCS,742266,50,60,0,3
4098,-13.757328,34.390447,1800DCS,742266,50,120,0,3
4099,-13.757328,34.390447,1800DCS,742266,50,240,0,3
2417,-14.038460,33.791360,1800DCS,TBXLHA-6565DC-VTM,48,0,0,2
2418,-14.038460,33.791360,1800DCS,TBXLHA-6565DC-VTM,48,120,0,2
2419,-14.038460,33.791360,1800DCS,TBXLHA-6565DC-VTM,48,240,0,2
1587,-15.905308,34.745848,1800DCS,730378,78,60,0,0
1588,-15.905308,34.745848,1800DCS,730378,78,160,0,0
1589,-15.905308,34.745848,1800DCS,730378,78,300,0,0
1897,-14.309888,34.653589,1800DCS,BA-G6W9W9X65V-00M,50,10,0,2
1898,-14.309888,34.653589,1800DCS,BA-G6W9W9X65V-00M,50,120,0,2
1899,-14.309888,34.653589,1800DCS,BA-G6W9W9X65V-00M,50,220,0,2
3567,-13.533956,33.179868,1800DCS,BA-G6W9W9X65V-00M,49,30,0,0
3568,-13.533956,33.179868,1800DCS,BA-G6W9W9X65V-00M,49,200,0,0
3569,-13.533956,33.179868,1800DCS,BA-G6W9W9X65V-00M,49,290,0,2
4697,-13.548371,33.172922,1800DCS,742266,28,60,0,2
4698,-13.548371,33.172922,1800DCS,742266,28,170,0,3
4699,-13.548371,33.172922,1800DCS,742266,28,270,0,3
14637,-12.284121,33.421166,1800DCS,BA-G6W9W9X65V-00M,48,0,0,2
14638,-12.284121,33.421166,1800DCS,BA-G6W9W9X65V-00M,48,120,0,2
14639,-12.284121,33.421166,1800DCS,BA-G6W9W9X65V-00M,48,240,0,2
58057,-9.768540,33.874700,1800DCS,TBXLHA-6565DC-VTM,48,0,0,2
58058,-9.768540,33.874700,1800DCS,TBXLHA-6565DC-VTM,48,120,0,2
58059,-9.768540,33.874700,1800DCS,TBXLHA-6565DC-VTM,48,240,0,1
6067,-9.949680,33.896850,1800DCS,742266,49,90,0,0
6068,-9.949680,33.896850,1800DCS,742266,49,210,0,0
6069,-9.949680,33.896850,1800DCS,742266,49,330,0,0
10857,-9.955380,33.917262,1800DCS,BA-G6W9W9X65V-00M,40,0,0,2
10858,-9.955380,33.917262,1800DCS,BA-G6W9W9X65V-00M,40,120,0,2
10859,-9.955380,33.917262,1800DCS,BA-G6W9W9X65V-00M,40,240,0,2
15137,-9.932402,33.940074,1800DCS,BA-G6W9W9X65V-00M,32,0,0,2
15138,-9.932402,33.940074,1800DCS,BA-G6W9W9X65V-00M,32,120,0,2
15139,-9.932402,33.940074,1800DCS,BA-G6W9W9X65V-00M,32,240,0,2
7227,-9.937540,33.925720,1800DCS,742266,28,0,0,1
7228,-9.937540,33.925720,1800DCS,742266,28,120,0,1
7229,-9.937540,33.925720,1800DCS,742266,28,240,0,1
56157,-14.141190,34.130380,1800DCS,742266,38,0,0,2
56158,-14.141190,34.130380,1800DCS,742266,38,180,0,2
